SIZE ,SHAPE ,RADIUS OF CORNERS ,STOCK ,COLORSPEC ,COATING ,,,RunSize,UnitPrice,TotalPrice
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Both Sides,,2500,0.0834,208.40
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Both Sides,,5000,0.0595,297.73
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Back,,500,0.1747,87.33
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Back,,1000,0.1290,129.02
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Back,,2500,0.0834,208.40
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Back,,5000,0.0595,297.73
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,,500,0.1397,69.86
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,,1000,0.1032,103.22
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,,2500,0.0667,166.72
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,,5000,0.0476,238.18
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,,500,0.1461,73.04
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,,1000,0.1048,104.79
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,,2500,0.0749,187.37
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,,5000,0.0572,285.82
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,,500,0.1508,75.42
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,,1000,0.1092,109.17
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,,2500,0.0754,188.56
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,,5000,0.0556,277.87
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,,500,0.1207,60.34
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,,1000,0.0873,87.33
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,,2500,0.0603,150.85
"1.5"" x 3.5""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,,5000,0.0445,222.30
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,,500,0.1683,84.15
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,,1000,0.1111,111.15
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,,2500,0.0826,206.41
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,,5000,0.0588,293.76
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Front,,500,0.1985,99.25
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Front,,1000,0.1687,168.71
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Front,,2500,0.0992,248.10
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Front,,5000,0.0715,357.27
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Both Sides,,500,0.1985,99.25
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Both Sides,,1000,0.1687,168.71
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Both Sides,,2500,0.0992,248.10
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Both Sides,,5000,0.0715,357.27
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Back,,500,0.1985,99.25
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Back,,1000,0.1687,168.71
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Back,,2500,0.0992,248.10
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Back,,5000,0.0715,357.27
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,,500,0.1588,79.40
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,,1000,0.1350,134.96
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,,2500,0.0794,198.48
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,,5000,0.0572,285.82
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,,500,0.1683,84.15
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,,1000,0.1111,111.15
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,,2500,0.0826,206.41
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,,5000,0.0588,293.76
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,,500,0.1985,99.25
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,,1000,0.1687,168.71
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,,2500,0.0992,248.10
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,,5000,0.0715,357.27
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,,500,0.1985,99.25
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,,1000,0.1687,168.71
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,,2500,0.0992,248.10
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,,5000,0.0715,357.27
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,,500,0.1985,99.25
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,,1000,0.1687,168.71
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,,2500,0.0992,248.10
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,,5000,0.0715,357.27
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,,500,0.1588,79.40
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,,1000,0.1350,134.96
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,,2500,0.0794,198.48
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,,5000,0.0572,285.82
"1.5"" x 3.5""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,,500,0.1683,84.15
"1.5"" x 3.5""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,,1000,0.1111,111.15
"1.5"" x 3.5""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,,2500,0.0826,206.41
"1.5"" x 3.5""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,,5000,0.0588,293.76
"1.5"" x 3.5""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Front,,500,0.1985,99.25
"1.5"" x 3.5""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Front,,1000,0.1687,168.71
"1.5"" x 3.5""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Front,,2500,0.0992,248.10
"1.5"" x 3.5""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Front,,5000,0.0715,357.27
"1.5"" x 3.5""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Both Sides,,500,0.1985,99.25
"1.5"" x 3.5""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Both Sides,,1000,0.1687,168.71
"1.5"" x 3.5""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Both Sides,,2500,0.0992,248.10
"1.5"" x 3.5""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Both Sides,,5000,0.0715,357.27
"1.5"" x 3.5""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Back,,500,0.1985,99.25
"1.5"" x 3.5""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Back,,1000,0.1687,168.71
"1.5"" x 3.5""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Back,,2500,0.0992,248.10
"1.5"" x 3.5""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Back,,5000,0.0715,357.27
"1.5"" x 3.5""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,,500,0.1588,79.40
"1.5"" x 3.5""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,,1000,0.1350,134.96
"1.5"" x 3.5""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,,2500,0.0794,198.48
"1.5"" x 3.5""",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,,5000,0.0572,285.82
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,,500,0.1461,73.04
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,,1000,0.1032,103.22
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,,2500,0.0673,168.32
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,,5000,0.0480,239.77
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,,500,0.1747,87.33
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,,1000,0.1290,129.02
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,,2500,0.0834,208.40
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,,5000,0.0595,297.73
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Both Sides,,500,0.1747,87.33
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Both Sides,,1000,0.1290,129.02
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Both Sides,,2500,0.0834,208.40
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Both Sides,,5000,0.0595,297.73
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Back,,500,0.1747,87.33
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Back,,1000,0.1290,129.02
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Back,,2500,0.0834,208.40
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Back,,5000,0.0595,297.73
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,,500,0.1397,69.86
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,,1000,0.1032,103.22
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,,2500,0.0667,166.72
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,,5000,0.0476,238.18
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,,500,0.1302,65.10
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,,1000,0.0905,90.51
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,,2500,0.0616,154.02
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,,5000,0.0451,225.48
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,,500,0.1508,75.42
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,,1000,0.1092,109.17
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,,2500,0.0754,188.56
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,,5000,0.0556,277.87
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,,500,0.1207,60.34
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,,1000,0.0873,87.33
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,,2500,0.0603,150.85
"1.5"" x 3.5""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,,5000,0.0445,222.30
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,,500,0.1906,95.28
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,,1000,0.1159,115.93
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,,2500,0.0953,238.18
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,,5000,0.0699,349.33
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Front,,500,0.1985,99.25
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Front,,1000,0.1687,168.71
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Front,,2500,0.0992,248.10
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Front,,5000,0.0715,357.27
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Both Sides,,500,0.1985,99.25
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Both Sides,,1000,0.1687,168.71
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Both Sides,,2500,0.0992,248.10
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Both Sides,,5000,0.0715,357.27
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Back,,500,0.1985,99.25
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Back,,1000,0.1687,168.71
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Back,,2500,0.0992,248.10
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Back,,5000,0.0715,357.27
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,,500,0.1588,79.40
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,,1000,0.1350,134.96
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,,2500,0.0794,198.48
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,,5000,0.0572,285.82
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,,500,0.1906,95.28
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,,1000,0.1159,115.93
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,,2500,0.0953,238.18
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,,5000,0.0699,349.33
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,,500,0.1985,99.25
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,,1000,0.1687,168.71
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,,2500,0.0992,248.10
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,,5000,0.0715,357.27
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,,500,0.1985,99.25
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,,1000,0.1687,168.71
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,,2500,0.0992,248.10
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,,5000,0.0715,357.27
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,,500,0.1985,99.25
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,,1000,0.1687,168.71
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,,2500,0.0992,248.10
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,,5000,0.0715,357.27
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,,500,0.1588,79.40
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,,1000,0.1350,134.96
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,,2500,0.0794,198.48
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,,5000,0.0572,285.82
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,,500,0.1906,95.28
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,,1000,0.1159,115.93
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,,2500,0.0953,238.18
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,,5000,0.0699,349.33
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Front,,500,0.1985,99.25
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Front,,1000,0.1687,168.71
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Front,,2500,0.0992,248.10
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Front,,5000,0.0715,357.27
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Both Sides,,500,0.1985,99.25
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Both Sides,,1000,0.1687,168.71
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Both Sides,,2500,0.0992,248.10
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Both Sides,,5000,0.0715,357.27
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Back,,500,0.1985,99.25
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Back,,1000,0.1687,168.71
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Back,,2500,0.0992,248.10
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Back,,5000,0.0715,357.27
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,,500,0.1588,79.40
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,,1000,0.1350,134.96
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,,2500,0.0794,198.48
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,,5000,0.0572,285.82
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,,500,0.1651,82.57
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,,1000,0.1191,119.09
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,,2500,0.0813,203.25
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,,5000,0.0603,301.69
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,,500,0.1747,87.33
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,,1000,0.1290,129.02
"1.5"" x 3.5""",Rounded 2 Corners,"Rounded 1/4""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,,2500,0.0834,208.40
